date,department_code,résident,non-résident,occupation
2015-01-01,78,0.25990564437376495,0.029761352542345375,0.5379999999999999
2015-01-02,78,0.25956375158779443,0.03010525388566303,0.5394193548387096
2015-01-03,78,0.25922185880182397,0.030449155228980687,0.5408387096774193
2015-01-04,78,0.2588799660158534,0.030793056572298343,0.542258064516129
2015-01-05,78,0.2585380732298829,0.031136957915615993,0.5436774193548387
2015-01-06,78,0.2581961804439124,0.031480859258933645,0.5450967741935484
2015-01-07,78,0.2578542876579419,0.031824760602251305,0.546516129032258
2015-01-08,78,0.2575123948719714,0.03216866194556896,0.5479354838709677
2015-01-09,78,0.25717050208600084,0.03251256328888662,0.5493548387096774
2015-01-10,78,0.2568286093000304,0.03285646463220427,0.5507741935483871
2015-01-11,78,0.25648671651405985,0.03320036597552192,0.5521935483870968
2015-01-12,78,0.2561448237280894,0.033544267318839575,0.5536129032258065
2015-01-13,78,0.25580293094211887,0.03388816866215723,0.5550322580645161
2015-01-14,78,0.25546103815614835,0.03423207000547488,0.5564516129032259
2015-01-15,78,0.2551191453701778,0.03457597134879254,0.5578709677419355
2015-01-16,78,0.25477725258420736,0.03491987269211019,0.5592903225806451
2015-01-17,78,0.25443535979823684,0.03526377403542785,0.5607096774193548
2015-01-18,78,0.25409346701226637,0.035607675378745506,0.5621290322580645
2015-01-19,78,0.25375157422629585,0.035951576722063165,0.5635483870967742
2015-01-20,78,0.25340968144032533,0.03629547806538081,0.5649677419354839
2015-01-21,78,0.2530677886543548,0.036639379408698464,0.5663870967741935
2015-01-22,78,0.25272589586838434,0.03698328075201612,0.5678064516129032
2015-01-23,78,0.2523840030824138,0.037327182095333776,0.5692258064516129
2015-01-24,78,0.25204211029644336,0.037671083438651436,0.5706451612903226
2015-01-25,78,0.2517002175104728,0.03801498478196909,0.5720645161290323
2015-01-26,78,0.2513583247245023,0.03835888612528674,0.573483870967742
2015-01-27,78,0.2510164319385318,0.038702787468604394,0.5749032258064516
2015-01-28,78,0.2506745391525613,0.039046688811922046,0.5763225806451613
2015-01-29,78,0.2503326463665908,0.039390590155239706,0.577741935483871
2015-01-30,78,0.24999075358062026,0.03973449149855736,0.5791612903225807
2015-01-31,78,0.24964886079464976,0.04007839284187502,0.5805806451612904
2015-02-01,78,0.24930696800867927,0.04042229418519267,0.5820000000000001
2015-02-02,78,0.2506579402456123,0.040395721548994144,0.5828214285714286
2015-02-03,78,0.25200891248254526,0.040369148912795624,0.5836428571428571
2015-02-04,78,0.25335988471947835,0.0403425762765971,0.5844642857142858
2015-02-05,78,0.2547108569564113,0.04031600364039858,0.5852857142857143
2015-02-06,78,0.25606182919334436,0.04028943100420006,0.5861071428571428
2015-02-07,78,0.25741280143027734,0.04026285836800153,0.5869285714285715
2015-02-08,78,0.2587637736672104,0.04023628573180301,0.5877500000000001
2015-02-09,78,0.2601147459041434,0.040209713095604484,0.5885714285714286
2015-02-10,78,0.2614657181410764,0.040183140459405964,0.5893928571428572
2015-02-11,78,0.2628166903780094,0.040156567823207444,0.5902142857142857
2015-02-12,78,0.2641676626149424,0.04012999518700892,0.5910357142857143
2015-02-13,78,0.2655186348518755,0.04010342255081039,0.5918571428571429
2015-02-14,78,0.26686960708880847,0.04007684991461187,0.5926785714285715
2015-02-15,78,0.26822057932574145,0.04005027727841335,0.5935
2015-02-16,78,0.2695715515626745,0.04002370464221483,0.5943214285714286
2015-02-17,78,0.27092252379960746,0.03999713200601631,0.5951428571428571
2015-02-18,78,0.27227349603654055,0.039970559369817776,0.5959642857142857
2015-02-19,78,0.27362446827347353,0.039943986733619256,0.5967857142857143
2015-02-20,78,0.27497544051040657,0.039917414097420736,0.5976071428571429
2015-02-21,78,0.27632641274733954,0.039890841461222216,0.5984285714285714
2015-02-22,78,0.2776773849842725,0.03986426882502369,0.59925
2015-02-23,78,0.2790283572212056,0.03983769618882516,0.6000714285714286
2015-02-24,78,0.2803793294581386,0.03981112355262664,0.6008928571428571
2015-02-25,78,0.2817303016950716,0.03978455091642812,0.6017142857142858
2015-02-26,78,0.2830812739320046,0.0397579782802296,0.6025357142857143
2015-02-27,78,0.28443224616893764,0.039731405644031076,0.6033571428571429
2015-02-28,78,0.2857832184058707,0.03970483300783255,0.6041785714285715
2015-03-01,78,0.28713419064280366,0.03967826037163403,0.605
2015-03-02,78,0.286952151222653,0.040208341604703914,0.605516129032258
2015-03-03,78,0.2867701118025023,0.0407384228377738,0.6060322580645161
2015-03-04,78,0.2865880723823516,0.04126850407084369,0.6065483870967742
2015-03-05,78,0.28640603296220096,0.04179858530391357,0.6070645161290322
2015-03-06,78,0.28622399354205025,0.04232866653698345,0.6075806451612903
2015-03-07,78,0.28604195412189953,0.042858747770053336,0.6080967741935485
2015-03-08,78,0.2858599147017489,0.04338882900312322,0.6086129032258064
2015-03-09,78,0.2856778752815982,0.043918910236193105,0.6091290322580645
2015-03-10,78,0.2854958358614475,0.04444899146926298,0.6096451612903226
2015-03-11,78,0.28531379644129684,0.04497907270233287,0.6101612903225806
2015-03-12,78,0.2851317570211462,0.04550915393540276,0.6106774193548388
2015-03-13,78,0.28494971760099547,0.04603923516847264,0.6111935483870967
2015-03-14,78,0.28476767818084475,0.04656931640154253,0.6117096774193549
2015-03-15,78,0.2845856387606941,0.04709939763461241,0.612225806451613
2015-03-16,78,0.28440359934054343,0.0476294788676823,0.612741935483871
2015-03-17,78,0.2842215599203927,0.048159560100752175,0.6132580645161291
2015-03-18,78,0.28403952050024206,0.04868964133382206,0.613774193548387
