date,department_code,RR_precipitation,TM_temperature,FFM_vent
2015-01-01,22,0.86,7.62,5.76
2015-01-01,75,0.2,2.1,2.05
2015-01-01,78,0.03333333333333333,0.8833333333333334,2.4499999999999997
2015-01-01,85,0.1272727272727273,2.3363636363636364,2.7545454545454544
2015-01-01,87,0.04,-0.36,1.26
2015-01-01,91,0.4,0.325,1.725
2015-01-02,22,0.5800000000000001,8.97,3.46
2015-01-02,75,0.1,5.699999999999999,2.2
2015-01-02,78,0.06666666666666667,4.666666666666667,3.1
2015-01-02,85,3.0727272727272723,7.363636363636363,3.0181818181818185
2015-01-02,87,1.8800000000000001,2.66,1.46
2015-01-02,91,0.35,3.75,2.425
2015-01-03,22,2.5,11.05,6.57
2015-01-03,75,5.1,7.95,3.9499999999999997
2015-01-03,78,5.266666666666667,7.133333333333333,5.1
2015-01-03,85,2.618181818181818,11.272727272727273,5.618181818181818
2015-01-03,87,8.1,6.959999999999999,3.3600000000000003
2015-01-03,91,5.0,7.625,3.975
2015-01-04,22,0.82,9.53,1.9300000000000002
2015-01-04,75,0.0,4.1,1.7
2015-01-04,78,0.0,3.35,1.5666666666666667
2015-01-04,85,0.0,10.527272727272727,1.5636363636363635
2015-01-04,87,0.36,8.139999999999999,1.6199999999999999
2015-01-04,91,0.0,3.525,1.775
2015-01-05,22,0.0,8.26,2.63
2015-01-05,75,0.1,0.7,1.4
2015-01-05,78,0.03333333333333333,-0.15,1.3166666666666667
2015-01-05,85,0.05454545454545456,6.7,2.127272727272727
2015-01-05,87,0.12000000000000002,3.8,1.56
2015-01-05,91,0.15000000000000002,-0.45,1.075
2015-01-06,22,0.9199999999999999,7.01,3.6300000000000003
2015-01-06,75,0.0,2.0,1.8
2015-01-06,78,0.03333333333333333,1.2833333333333334,2.433333333333333
2015-01-06,85,1.7272727272727273,7.509090909090909,2.7454545454545456
2015-01-06,87,0.4,2.0599999999999996,1.3800000000000001
2015-01-06,91,0.1,1.175,2.15
2015-01-07,22,0.2,6.37,4.279999999999999
2015-01-07,75,0.0,2.7,1.9500000000000002
2015-01-07,78,0.13333333333333333,1.883333333333333,1.75
2015-01-07,85,0.16363636363636364,8.118181818181817,2.372727272727273
2015-01-07,87,0.24,5.88,1.2799999999999998
2015-01-07,91,0.05,2.7,1.7
2015-01-08,22,9.459999999999999,9.9,6.17
2015-01-08,75,4.1,9.15,4.3
2015-01-08,78,4.033333333333333,7.949999999999999,5.116666666666666
2015-01-08,85,2.963636363636364,10.472727272727273,4.590909090909091
2015-01-08,87,1.3599999999999999,5.7,2.7800000000000002
2015-01-08,91,3.55,8.175,4.325
2015-01-09,22,0.44000000000000006,12.6,8.440000000000001
2015-01-09,75,0.1,11.95,4.75
2015-01-09,78,0.16666666666666666,11.1,6.95
2015-01-09,85,2.8000000000000003,12.154545454545454,6.6
2015-01-09,87,3.7600000000000002,8.959999999999999,4.0600000000000005
2015-01-09,91,0.5,10.8,5.65
2015-01-10,22,2.58,10.18,6.989999999999999
2015-01-10,75,1.7,12.25,4.5
2015-01-10,78,2.0,11.016666666666666,6.75
2015-01-10,85,5.236363636363636,11.872727272727273,6.118181818181818
2015-01-10,87,9.280000000000001,9.92,4.2
2015-01-10,91,2.45,11.275,5.325
2015-01-11,22,0.04,7.7700000000000005,5.8
2015-01-11,75,0.0,7.1,3.35
2015-01-11,78,0.0,5.933333333333334,4.983333333333333
2015-01-11,85,0.0,8.254545454545454,3.9545454545454546
2015-01-11,87,0.0,4.9399999999999995,2.56
2015-01-11,91,0.0,5.9750000000000005,3.7750000000000004
2015-01-12,22,13.959999999999999,10.790000000000001,7.540000000000001
2015-01-12,75,0.0,7.949999999999999,4.9
2015-01-12,78,0.0,7.333333333333333,5.883333333333333
2015-01-12,85,0.018181818181818184,9.936363636363636,5.2727272727272725
2015-01-12,87,0.16,4.720000000000001,2.96
2015-01-12,91,0.0,6.9,5.025
2015-01-13,22,10.129999999999999,8.0,6.279999999999999
2015-01-13,75,1.8,9.15,5.3
2015-01-13,78,2.9,8.200000000000001,6.233333333333333
2015-01-13,85,9.027272727272727,10.272727272727273,6.509090909090909
2015-01-13,87,5.84,8.040000000000001,5.0200000000000005
2015-01-13,91,2.25,8.175,5.45
2015-01-14,22,17.72,7.409999999999999,6.9
2015-01-14,75,1.0,7.25,4.65
2015-01-14,78,2.1666666666666665,6.1499999999999995,5.8
2015-01-14,85,2.4181818181818184,10.018181818181818,6.763636363636365
2015-01-14,87,1.7600000000000002,7.220000000000001,4.3
2015-01-14,91,2.05,6.75,4.95
2015-01-15,22,5.51,7.24,6.93
2015-01-15,75,1.6,9.6,6.199999999999999
2015-01-15,78,2.3666666666666667,8.450000000000001,7.366666666666667
2015-01-15,85,11.9,9.89090909090909,6.8090909090909095
2015-01-15,87,13.080000000000002,7.719999999999999,4.82
2015-01-15,91,2.2,8.675,6.35
2015-01-16,22,2.87,4.7700000000000005,3.65
2015-01-16,75,2.2,6.6,2.45
2015-01-16,78,1.6666666666666667,5.333333333333333,2.6166666666666667
2015-01-16,85,2.381818181818182,6.254545454545454,3.0454545454545454
2015-01-16,87,0.44000000000000006,4.88,2.1399999999999997
2015-01-16,91,2.05,5.525,1.95
2015-01-17,22,2.6,4.2299999999999995,3.56
2015-01-17,75,0.0,3.6,2.05
2015-01-17,78,0.03333333333333333,2.0,2.3000000000000003
2015-01-17,85,1.5272727272727273,4.527272727272727,2.0727272727272728
2015-01-17,87,0.0,2.24,1.98
2015-01-17,91,0.05,1.9,1.725
2015-01-18,22,5.39,4.67,4.34
