date,volailler_paris_ca_ttc_base_100k,train_valid_test
2019-12-01,270.6581652810668,train
2019-12-03,183.82307719090298,train
2019-12-04,144.6209551304001,train
2019-12-05,320.1231684657146,train
2019-12-06,168.2637853343313,train
2019-12-07,354.5758861481233,train
2019-12-08,128.73461714663483,train
2019-12-10,191.73006851384827,train
2019-12-11,128.95457737377387,train
2019-12-12,290.61666168041916,train
2019-12-13,260.7917914084751,train
2019-12-14,578.9903078867231,train
2019-12-15,270.73920325948643,train
2019-12-16,17.790730476626894,train
2019-12-17,462.81078896810317,train
2019-12-18,141.1826294745952,train
2019-12-19,532.6307958036566,train
2019-12-20,654.0459469708886,train
2019-12-21,902.9714629679158,train
2019-12-22,527.9103335607124,train
2019-12-23,704.6339049993516,train
2019-12-24,809.9745943043441,train
2019-12-27,257.0814096822614,train
2019-12-28,197.20302627068924,train
2019-12-29,53.38376828394063,train
2019-12-30,251.23799259550202,train
2019-12-31,509.5205008864831,train
2020-01-03,60.85373336612284,train
2020-01-04,472.648220705545,train
2020-01-05,80.59516375185119,train
2020-01-07,122.3876069082677,train
2020-01-08,21.087239670197423,train
2020-01-09,69.97050593833282,train
2020-01-10,135.29001075808105,train
2020-01-11,232.65135340225362,train
2020-01-12,42.65781299739772,train
2020-01-14,102.3191303953458,train
2020-01-15,64.91431492765001,train
2020-01-16,73.19755400754364,train
2020-01-17,197.77318633314175,train
2020-01-18,276.25846843256716,train
2020-01-19,116.4428923484838,train
2020-01-21,60.84794493909287,train
2020-01-22,26.100017478155415,train
2020-01-23,75.85733622781699,train
2020-01-24,180.5584043459973,train
2020-01-25,164.02665674838988,train
2020-01-26,107.49398416014309,train
2020-01-28,56.434269328737244,train
2020-01-29,76.3522467388798,train
2020-01-30,65.02140082770454,train
2020-01-31,193.52737510665537,train
2020-02-01,266.69888119256416,train
2020-02-02,20.297119380605892,train
2020-02-04,135.71835435829917,train
2020-02-05,51.852729334512354,train
2020-02-06,70.68537667653467,train
2020-02-07,195.8456401321602,train
2020-02-08,291.06237056172716,train
2020-02-09,49.55472380361245,train
2020-02-11,29.199720152706806,train
2020-02-12,80.92799830607471,train
2020-02-13,100.61443863501829,train
2020-02-14,198.11470352791025,train
2020-02-15,196.86440328943573,train
2020-02-16,45.49703645560025,train
2020-02-18,42.62887086224785,train
2020-02-19,70.50304122509048,train
2020-02-20,88.37770389365201,train
2020-02-21,233.43568526481516,train
2020-02-22,245.8026596143559,train
2020-02-23,72.36112630171232,train
2020-02-25,87.89437023664912,train
2020-02-26,60.422495552389734,train
2020-02-27,45.32048943118603,train
2020-02-28,161.5115852038659,train
2020-02-29,385.35584688001325,train
2020-03-01,88.09117675566826,train
2020-03-03,79.80793767577462,train
2020-03-04,39.054517171238544,train
2020-03-05,44.92687639314776,train
2020-03-06,129.09060540897826,train
2020-03-07,368.18447809559365,train
2020-03-08,117.67872151938337,train
2020-03-10,51.49095264513895,train
2020-03-11,53.898938289608374,train
2020-03-12,69.62030610301936,train
2020-03-13,189.3568134315587,train
2020-03-14,361.96770746540096,train
2020-03-15,149.9520964250067,train
2020-03-16,130.3351172204228,train
2020-03-17,179.45570899678714,train
2020-03-18,63.28776693222716,train
2020-03-19,89.21992002651331,train
2020-03-20,110.56185048602961,train
2020-03-21,494.06829492996593,train
2020-03-22,92.7971679310376,train
2020-03-24,4.4744540941703566,train
2020-03-31,185.12836748616226,train
2020-04-01,80.49676049234161,train
2020-04-02,194.31460118273193,train
2020-04-03,339.7169939621786,train
2020-04-04,393.41912573276784,train
2020-04-05,86.75115589822914,train
2020-04-07,58.15922058366967,train
2020-04-08,102.79378141180372,train
2020-04-09,220.79954905838065,train
2020-04-10,592.8478021964823,train
2020-04-11,499.2113123460984,train
2020-04-12,138.12634000276861,train
2020-04-14,125.60307812341858,train
2020-04-15,82.54296944743763,train
2020-04-16,323.0636893969417,train
2020-04-17,455.77785012668403,train
2020-04-18,424.7258333243854,train
2020-04-19,96.10814819218307,train
2020-04-21,143.67454731099923,train
2020-04-22,110.98729987273275,train
2020-04-23,137.76745752691016,train
2020-04-24,468.88284892254654,train
2020-04-25,439.69470562389967,train
2020-04-26,101.6129422976889,train
2020-04-28,157.73463656680752,train
2020-04-29,130.12383963382874,train
2020-04-30,403.3578549432342,train
2020-05-01,375.84546126976494,train
2020-05-02,577.1495880911912,train
2020-05-03,130.13252227437368,train
2020-05-05,114.59348991240691,train
2020-05-06,86.62091629005472,train
2020-05-07,243.25864593468205,train
2020-05-08,501.9347672637014,train
2020-05-09,626.8345515029781,train
2020-05-10,181.50191795188317,train
2020-05-12,241.15744692280128,train
2020-05-13,108.98160990684656,train
2020-05-14,332.4872486017403,train
2020-05-15,425.44070406258726,train
2020-05-16,501.801633442012,train
2020-05-17,129.51894900919638,train
2020-05-19,149.13882242729522,train
2020-05-20,228.19426458917317,train
2020-05-21,201.73536463515936,train
2020-05-22,242.59297682623497,train
2020-05-23,519.5171143672492,train
2020-05-24,174.73814096735788,train
2020-05-26,88.76263429114532,train
2020-05-27,75.68657763043272,train
2020-05-28,174.13035612921053,train
2020-05-29,291.4067819700107,train
2020-05-30,402.22042903184416,train
2020-05-31,190.06010731570063,train
2020-06-02,102.7764161307138,train
2020-06-03,106.3507698217231,train
2020-06-04,86.40963870346064,train
2020-06-05,175.95660485716752,train
2020-06-06,396.69248121821846,train
2020-06-07,112.98720141158897,train
2020-06-09,82.1869811850942,train
2020-06-10,97.79836888493564,train
2020-06-11,124.11545237671511,train
2020-06-12,117.536905057149,train
2020-06-13,402.0033630182201,train
