date,EspaceRichaud_affluence_base100k,train_valid_test
2015-04-18,7018.244772939141,train
2015-04-19,2836.596084698362,train
2015-04-20,479.4246903715541,train
2015-04-22,338.2607537621521,train
2015-04-23,492.7420428818751,train
2015-04-23,55.93288054334798,train
2015-04-24,426.15528033027033,train
2015-04-25,1233.1868424557197,train
2015-04-26,1209.215607937142,train
2015-04-27,292.98175522706083,train
2015-04-29,463.44386735916896,train
2015-04-30,149.15434811559462,train
2015-04-30,15.980823012385137,train
2015-05-01,0.0,train
2015-05-02,889.5991476894393,train
2015-05-03,897.5895591956319,train
2015-05-04,245.03928618990543,train
2015-05-05,0.0,train
2015-05-06,319.6164602477028,train
2015-05-07,439.47263284059125,train
2015-05-07,85.23105606605407,train
2015-05-08,894.9260886935676,train
2015-05-09,1081.369023838061,train
2015-05-10,934.8781462245305,train
2015-05-11,0.0,train
2015-05-12,0.0,train
2015-05-13,316.95298974563855,train
2015-05-14,306.2991077373818,train
2015-05-14,0.0,train
2015-05-15,434.1456918364629,train
2015-05-16,769.7429750965508,train
2015-05-16,937.5416167265947,train
2015-05-17,942.8685577307231,train
2015-05-18,183.77946464242908,train
2015-05-20,178.4525236383007,train
2015-05-21,266.34705020641894,train
2015-05-21,50.6059395392196,train
2015-05-22,0.0,train
2015-05-23,1065.3882008256758,train
2015-05-24,876.2817951791184,train
2015-05-25,391.5301638034358,train
2015-05-27,154.481289119723,train
2015-05-28,119.85617259288853,train
2015-05-28,26.634705020641896,train
2015-05-29,138.50046610733784,train
2015-05-30,556.6653349314156,train
2015-05-31,559.3288054334798,train
2015-06-01,159.8082301238514,train
2015-06-02,0.0,train
2015-06-03,165.13517112797976,train
2015-06-04,218.40458116926354,train
2015-06-04,13.317352510320948,train
2015-06-05,0.0,train
2015-06-06,0.0,train
2015-06-07,0.0,train
2015-06-08,141.16393660940204,train
2015-06-10,194.43334665068585,train
2015-06-11,255.6931681981622,train
2015-06-11,5.326941004128379,train
2015-06-12,0.0,train
2015-06-13,0.0,train
2015-06-14,0.0,train
2015-06-15,82.56758556398988,train
2015-06-17,85.23105606605407,train
2015-06-18,271.67399121054734,train
2015-06-18,10.653882008256758,train
2015-06-19,85.23105606605407,train
2015-06-20,0.0,train
2015-06-21,426.15528033027033,train
2015-06-22,58.59635104541217,train
2015-06-24,101.2118790784392,train
2015-06-25,133.17352510320947,train
2015-06-25,66.58676255160474,train
2015-06-26,0.0,train
2015-06-27,0.0,train
2015-06-28,261.0201092022906,train
2015-06-29,106.53882008256758,train
2015-07-01,31.961646024770275,train
2015-07-02,135.83699560527367,train
2015-07-02,31.961646024770275,train
2015-07-03,63.92329204954055,train
2015-07-04,0.0,train
2015-07-05,452.7899853509122,train
2015-07-06,79.9041150619257,train
2015-07-08,127.8465840990811,train
2015-07-09,157.1447596217872,train
2015-07-09,23.971234518577706,train
2015-07-10,103.87534958050338,train
2015-07-11,0.0,train
2015-07-12,346.25116526834466,train
2015-09-19,1065.3882008256758,train
2015-09-20,1171.9270209082433,train
2015-09-25,490.07857237981085,train
2015-09-26,625.9155679850845,train
2015-09-27,668.5310960181116,train
2015-10-03,1811.1599414036489,train
2015-10-08,399.5205753096284,train
2015-10-21,282.3278732188041,train
2015-10-22,151.81781861765882,train
2015-10-23,239.71234518577705,train
2015-10-24,428.8187508323345,train
2015-10-25,511.3863363963244,train
2015-10-28,162.47170062591556,train
2015-10-29,183.77946464242908,train
2015-10-30,330.2703422559595,train
2015-10-31,591.2904514582501,train
2015-11-01,482.0881608736183,train
2015-11-04,143.82740711146624,train
2015-11-05,332.9338127580237,train
2015-11-06,127.8465840990811,train
2015-11-07,711.1466240511386,train
2015-11-08,410.1744573178852,train
2015-11-24,1267.8119589825542,train
2015-11-25,279.6644027167399,train
2015-11-26,85.23105606605407,train
2015-11-27,106.53882008256758,train
2015-11-28,647.2233320015981,train
2015-11-29,815.0219736316419,train
2015-12-02,271.67399121054734,train
2015-12-03,213.07764016513516,train
2015-12-04,205.0872286589426,train
2015-12-05,804.3680916233852,train
2015-12-06,953.5224397389799,train
2015-12-09,346.25116526834466,train
2015-12-10,170.46211213210813,train
2015-12-11,194.43334665068585,train
2015-12-12,740.4447995738448,train
2015-12-13,825.6758556398987,train
2015-12-16,237.04887468371285,train
2015-12-17,189.10640564655748,train
2015-12-18,111.86576108669595,train
2015-12-19,668.5310960181116,train
2015-12-20,1161.2731388999866,train
2015-12-23,1638.0343587694767,train
2015-12-24,572.6461579438007,train
2015-12-25,0.0,train
2015-12-26,1278.465840990811,train
2015-12-27,825.6758556398987,train
2015-12-30,1893.7275269676388,train
2015-12-31,748.4352110800373,train
2016-01-02,1302.4370755093887,train
2016-01-03,785.7237981089359,train
2016-01-04,0.0,train
2016-01-05,0.0,train
2016-01-06,245.03928618990543,train
2016-01-07,175.7890531362365,train
2016-01-08,237.04887468371285,train
2016-01-09,993.4744972699427,train
2016-01-10,870.9548541749899,train
2016-01-11,0.0,train
2016-01-12,0.0,train
2016-01-13,346.25116526834466,train
2016-01-14,215.74111066719934,train
2016-01-15,151.81781861765882,train
2016-01-16,857.637501664669,train
2016-01-17,1235.850312957784,train
2016-01-18,0.0,train
2016-01-19,0.0,train
2016-01-20,372.88587028898655,train
2016-01-21,359.5685177786656,train
2016-01-22,322.27993074976695,train
2016-01-23,966.8397922493008,train
2016-01-24,1273.1388999866826,train
2016-01-25,0.0,train
2016-01-26,0.0,train
2016-01-27,370.2223997869224,train
2016-01-28,370.2223997869224,train
2016-01-29,284.99134372086826,train
2016-01-30,894.9260886935676,train
2016-01-31,1480.8895991476895,train
2016-02-01,0.0,train
2016-02-02,0.0,train
2016-02-03,378.21281129311495,train
2016-02-04,308.962578239446,train
2016-02-05,367.55892928485815,train
2016-02-06,1022.7726727926488,train
2016-02-07,1443.6010121187908,train
2016-02-08,0.0,train
2016-02-09,0.0,train
2016-02-10,487.4151018777467,train
2016-02-11,870.9548541749899,train
2016-02-12,679.1849780263683,train
2016-02-13,828.3393261419629,train
2016-02-14,1475.562658143561,train
2016-02-15,0.0,train
2016-02-16,0.0,train
2016-02-17,809.6950326275136,train
2016-02-18,298.30869623118923,train
2016-02-19,764.4160340924225,train
2016-02-20,1286.4562524970036,train
2016-02-21,1478.2261286456253,train
2016-02-22,0.0,train
2016-02-23,0.0,train
2016-02-24,2117.459049141031,train
2016-02-25,1574.1110667199362,train
2016-02-26,897.5895591956319,train
2016-02-27,1174.5904914103075,train
2016-02-28,1486.2165401518178,train
2016-03-11,745.7717405779731,train
2016-03-12,423.4918098282061,train
2016-03-13,1006.7918497802636,train
2016-03-14,0.0,train
2016-03-15,0.0,train
2016-03-16,114.52923158876014,train
2016-03-17,87.89452656811825,train
2016-03-18,143.82740711146624,train
2016-03-19,703.156212544946,train
2016-03-20,708.4831535490745,train
2016-03-21,0.0,train
2016-03-22,0.0,train
2016-03-23,95.88493807431082,train
2016-03-24,101.2118790784392,train
2016-03-25,106.53882008256758,train
2016-03-26,671.1945665201757,train
2016-03-27,1004.1283792781994,train
2016-03-28,0.0,train
2016-03-29,0.0,train
2016-03-30,125.18311359701691,train
2016-03-31,90.55799707018245,train
2016-04-01,149.15434811559462,train
2016-04-02,700.4927420428819,train
2016-04-03,548.674923425223,train
2016-04-04,0.0,train
2016-04-05,0.0,train
2016-04-06,237.04887468371285,train
2016-04-07,114.52923158876014,train
2016-04-08,143.82740711146624,train
2016-04-09,753.7621520841657,train
2016-04-10,1227.8599014515914,train
2016-04-11,0.0,train
2016-04-12,0.0,train
2016-04-13,242.37581568784125,train
2016-04-14,290.31828472499666,train
2016-04-15,183.77946464242908,train
2016-04-16,452.7899853509122,train
2016-04-17,748.4352110800373,train
2016-04-18,0.0,train
2016-04-19,0.0,train
2016-04-20,503.3959248901318,train
2016-04-21,287.6548142229325,train
2016-04-22,202.4237581568784,train
2016-04-23,474.0977493674257,train
2016-04-24,679.1849780263683,train
2016-04-25,0.0,train
2016-04-26,0.0,train
2016-04-27,420.82833932614193,train
2016-04-28,207.75069916100676,train
2016-04-29,266.34705020641894,train
2016-04-30,535.3575709149021,train
2016-05-01,0.0,train
2016-05-02,0.0,train
2016-05-03,0.0,train
2016-05-04,167.79864163004393,train
2016-05-05,703.156212544946,train
2016-05-06,519.376747902517,train
2016-05-07,684.5119190304968,train
2016-05-08,679.1849780263683,train
2016-05-09,0.0,train
2016-05-10,146.49087761353042,train
2016-05-11,298.30869623118923,train
2016-05-12,223.7315221733919,train
2016-05-13,316.95298974563855,train
2016-05-14,894.9260886935676,train
2016-05-15,1400.9854840857638,train
2016-05-21,884.2722066853108,train
2016-05-26,351.578106272473,train
2016-05-27,2295.9115727793314,train
2016-05-28,3518.444533226794,train
2016-05-29,3854.041816486883,train
2016-05-30,0.0,train
2016-05-31,0.0,train
2016-06-01,74.57717405779731,train
2016-06-02,47.94246903715541,train
2016-06-03,298.30869623118923,train
2016-06-04,127.8465840990811,train
2016-06-05,146.49087761353042,train
2016-06-06,0.0,train
2016-06-07,0.0,train
2016-06-08,0.0,train
2016-06-09,45.278998535091226,train
2016-06-10,58.59635104541217,train
2016-06-11,290.31828472499666,train
2016-06-12,130.5100546011453,train
2016-06-13,0.0,train
2016-06-14,0.0,train
2016-06-15,0.0,train
2016-06-16,258.35663870022637,train
2016-06-17,26.634705020641896,train
2016-06-18,202.4237581568784,train
2016-06-19,157.1447596217872,train
2016-06-20,0.0,train
2016-06-21,0.0,train
2016-06-22,85.23105606605407,train
2016-06-23,39.95205753096285,train
2016-06-24,0.0,train
2016-06-25,0.0,train
2016-06-26,0.0,train
2016-06-27,0.0,train
2016-06-28,0.0,train
2016-06-29,79.9041150619257,train
2016-06-30,103.87534958050338,train
2016-07-01,55.93288054334798,train
2016-07-02,125.18311359701691,train
2016-07-03,127.8465840990811,train
2016-07-04,0.0,train
2016-07-05,0.0,train
2016-07-06,39.95205753096285,train
2016-07-07,21.307764016513516,train
2016-07-08,34.62511652683446,train
2016-07-09,31.961646024770275,train
2016-07-10,74.57717405779731,train
2016-07-11,0.0,train
2016-07-12,0.0,train
2016-07-13,47.94246903715541,train
2016-07-14,0.0,train
2016-07-15,23.971234518577706,train
2016-07-16,114.52923158876014,train
2016-07-17,53.26941004128379,train
2016-09-14,1267.8119589825542,train
2016-09-17,1254.4946064722333,train
2016-09-18,1627.3804767612198,train
2016-09-21,284.99134372086826,train
2016-09-22,261.0201092022906,train
2016-09-23,239.71234518577705,train
2016-09-24,644.5598614995339,train
2016-09-25,668.5310960181116,train
2016-09-28,175.7890531362365,train
2016-09-29,189.10640564655748,train
2016-09-30,181.1159941403649,train
2016-10-01,1757.890531362365,train
2016-10-02,625.9155679850845,train
2016-10-05,229.05846317752028,train
2016-10-06,165.13517112797976,train
2016-10-07,234.38540418164868,train
2016-10-08,623.2520974830204,train
2016-10-09,916.2338527100811,train
2016-10-12,234.38540418164868,train
2016-10-13,189.10640564655748,train
2016-10-14,143.82740711146624,train
2016-10-16,878.9452656811825,train
2016-10-19,157.1447596217872,train
2016-10-20,215.74111066719934,train
2016-10-21,199.7602876548142,train
2016-10-22,788.3872686110001,train
2016-10-23,617.925156478892,train
2016-10-26,229.05846317752028,train
2016-10-27,287.6548142229325,train
2016-10-28,210.41416966307096,train
2016-10-29,498.0689838860034,train
2016-10-30,609.9347449726994,train
2016-11-02,202.4237581568784,train
2016-11-03,210.41416966307096,train
2016-11-04,149.15434811559462,train
2016-11-05,617.925156478892,train
2016-11-06,743.1082700759089,train
2016-11-09,90.55799707018245,train
2016-11-10,191.76987614862165,train
2016-11-11,471.43427886536153,train
2016-11-12,396.8571048075642,train
2016-11-13,599.2808629644427,train
2016-11-16,130.5100546011453,train
2016-11-17,111.86576108669595,train
2016-11-18,215.74111066719934,train
2016-11-19,426.15528033027033,train
2016-11-20,609.9347449726994,train
2016-11-23,183.77946464242908,train
2016-11-24,215.74111066719934,train
2016-11-25,197.09681715275002,train
2016-11-26,415.50139832201353,train
2016-11-27,623.2520974830204,train
2016-12-17,708.4831535490745,train
2016-12-18,612.5982154747636,train
2016-12-19,700.4927420428819,train
2016-12-20,897.5895591956319,train
2016-12-21,900.253029697696,train
2016-12-22,892.2626181915034,train
2016-12-23,644.5598614995339,train
2016-12-24,250.36622719403383,train
2016-12-26,609.9347449726994,train
2016-12-27,958.8493807431082,train
2016-12-28,836.3297376481555,train
2016-12-29,993.4744972699427,train
2016-12-30,857.637501664669,train
2016-12-31,338.2607537621521,train
2017-02-02,63.92329204954055,train
